"cin","cout","title","deweyClass","itemtype"
"2006-01-27 12:05:00","2006-01-06 16:51:00","Beginning programming with Java for dummies","005.133","acbk"
"2006-01-30 18:48:00","2006-01-04 12:47:00","Beginning programming with Java for dummies","005.133","acbk"
"2006-02-03 10:48:00","2006-01-25 12:38:00","Concurrent programming in Java design principles and patterns","005.133","acbk"
"2006-02-03 17:13:00","2006-01-13 17:39:00","complete idiots guide to Java 2","005.133","acbk"
"2006-02-06 13:41:00","2006-01-23 19:49:00","Core Java 1 2","005.133","acbk"
"2006-02-07 13:04:00","2006-01-10 13:57:00","Sams teach yourself Java 2 in 21 days","005.133","acbk"
"2006-02-08 10:35:00","2006-01-13 17:39:00","complete idiots guide to Java 2","005.133","acbk"
"2006-02-08 15:45:00","2006-01-17 16:46:00","Extreme programming with Ant building and deploying Java applications with JSP EJB XSLT xDoclet and Junit","005.1","acbk"
"2006-02-09 12:45:00","2006-01-10 13:57:00","Sams teach yourself Java 2 in 21 days","005.133","acbk"
"2006-02-10 12:23:00","2006-01-10 13:57:00","Sams teach yourself Java 2 in 21 days","005.133","acbk"
"2006-02-13 12:25:00","2006-01-17 16:46:00","Extreme programming with Ant building and deploying Java applications with JSP EJB XSLT xDoclet and Junit","005.1","acbk"
"2006-02-18 12:21:00","2006-01-14 15:42:00","Sun certified programmer developer for Java 2 study guide exams 310 035 310 027","005.133","acbk"
"2006-02-22 10:08:00","2006-01-14 15:42:00","Sun certified programmer developer for Java 2 study guide exams 310 035 310 027","005.133","acbk"
"2006-02-23 17:32:00","2006-02-08 15:09:00","complete idiots guide to Java 2","005.133","acbk"
"2006-02-25 11:10:00","2006-01-14 15:42:00","Sun certified programmer developer for Java 2 study guide exams 310 035 310 027","005.133","acbk"
"2006-02-28 10:01:00","2006-01-22 16:09:00","Sun certified programmer developer for Java 2 study guide exams 310 035 310 027","005.133","acbk"
"2006-02-28 15:26:00","2006-02-10 14:48:00","Concurrent programming in Java design principles and patterns","005.133","acbk"
"2006-03-01 11:06:00","2006-02-10 14:48:00","Concurrent programming in Java design principles and patterns","005.133","acbk"
