"cin","cout","title","deweyClass","itemtype"
"2007-09-04 11:39:00","2007-03-29 17:19:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2007-09-06 22:17:00","2007-03-29 17:19:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2007-09-10 11:41:00","2007-03-29 17:19:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2007-09-15 12:09:00","2007-09-12 18:10:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2007-12-04 19:35:00","2007-09-12 18:10:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2007-12-05 13:06:00","2007-09-12 18:10:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-01-22 19:39:00","2007-12-10 19:52:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-01-25 11:29:00","2007-12-10 19:52:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-02-17 13:24:00","2007-12-10 19:52:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-03-19 15:03:00","2008-02-21 14:03:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-03-21 13:48:00","2008-02-21 14:03:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-04-14 18:22:00","2008-03-24 18:01:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-04-18 11:37:00","2008-03-24 18:01:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-07-03 10:11:00","2008-05-12 12:44:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-09-11 10:54:00","2008-05-12 12:44:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-11-04 12:49:00","2008-09-15 13:13:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-11-28 16:05:00","2008-11-21 14:22:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-12-01 14:14:00","2008-11-21 14:22:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2008-12-02 12:57:00","2008-11-21 14:22:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
"2009-01-17 15:38:00","2008-12-11 17:32:00","AutoLISP in plain English a practical guide for non programmers","005.133","acbk"
