"cin","cout","title","deweyClass","itemtype"
"2009-03-17 16:39:00","2009-02-25 19:46:00","Programming in Objective C 2 0","005.117","acbk"
"2009-03-20 11:11:00","2009-02-25 19:46:00","Programming in Objective C 2 0","005.117","acbk"
"2009-03-21 10:33:00","2009-02-25 19:46:00","Programming in Objective C 2 0","005.117","acbk"
"2009-03-21 16:13:00","2009-02-28 10:12:00","Programming in Objective C 2 0","005.117","acbk"
"2009-03-24 19:39:00","2009-02-28 10:12:00","Programming in Objective C 2 0","005.117","acbk"
"2009-03-26 11:37:00","2009-02-28 10:12:00","Programming in Objective C 2 0","005.117","acbk"
"2009-03-26 15:06:00","2009-03-01 14:23:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-03 11:16:00","2009-03-16 16:07:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-14 16:20:00","2009-03-24 17:52:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-17 12:11:00","2009-03-24 17:52:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-17 17:53:00","2009-03-16 16:07:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-18 10:36:00","2009-03-24 17:52:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-18 12:46:00","2009-03-16 16:07:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-22 19:43:00","2009-03-31 14:02:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-22 23:00:00","2009-04-01 18:34:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-24 10:43:00","2009-03-31 14:02:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-24 11:44:00","2009-04-01 18:34:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-24 17:49:00","2009-04-22 12:31:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-28 15:36:00","2009-04-22 12:31:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-29 11:32:00","2009-04-22 12:31:00","Programming in Objective C 2 0","005.117","acbk"
"2009-04-30 12:46:00","2009-04-27 14:27:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-03 15:02:00","2009-04-27 14:27:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-09 16:11:00","2009-04-18 17:42:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-13 11:39:00","2009-04-18 17:42:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-14 12:45:00","2009-04-18 17:42:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-26 13:02:00","2009-05-05 13:47:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-26 16:19:00","2009-04-29 16:53:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-26 16:31:00","2009-04-18 17:42:00","Programming in Objective C 2 0","005.117","acbk"
"2009-05-27 13:44:00","2009-04-18 17:42:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-03 11:11:00","2009-05-04 19:44:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-05 12:25:00","2009-05-28 10:44:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-06 15:42:00","2009-06-04 11:28:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-07 17:14:00","2009-05-28 10:44:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-09 13:36:00","2009-05-28 10:44:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-10 12:51:00","2009-06-04 11:28:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-12 21:33:00","2009-06-04 11:28:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-15 10:50:00","2009-06-02 11:05:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-16 14:58:00","2009-06-02 11:05:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-20 12:20:00","2009-05-30 11:00:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-25 14:11:00","2009-06-04 11:28:00","Programming in Objective C 2 0","005.117","acbk"
"2009-06-30 12:10:00","2009-06-22 14:58:00","Programming in Objective C 2 0","005.117","acbk"
"2009-07-01 12:03:00","2009-06-22 14:58:00","Programming in Objective C 2 0","005.117","acbk"
"2009-07-07 18:41:00","2009-06-16 19:52:00","Programming in Objective C 2 0","005.117","acbk"
"2009-07-09 15:28:00","2009-06-16 19:52:00","Programming in Objective C 2 0","005.117","acbk"
"2009-07-16 18:40:00","2009-06-27 13:41:00","Programming in Objective C 2 0","005.117","acbk"
"2009-07-18 18:23:00","2009-06-22 18:02:00","Programming in Objective C 2 0","005.117","acbk"
"2009-07-20 13:38:00","2009-06-22 18:02:00","Programming in Objective C 2 0","005.117","acbk"
"2009-07-20 15:03:00","2009-06-16 19:52:00","Programming in Objective C 2 0","005.117","acbk"
"2009-08-06 16:26:00","2009-07-08 13:18:00","Programming in Objective C 2 0","005.117","acbk"
"2009-08-07 11:30:00","2009-07-08 13:18:00","Programming in Objective C 2 0","005.117","acbk"
"2009-08-11 16:53:00","2009-07-22 17:01:00","Programming in Objective C 2 0","005.117","acbk"
"2009-08-14 13:50:00","2009-07-22 17:01:00","Programming in Objective C 2 0","005.117","acbk"
"2009-08-14 15:54:00","2009-07-21 18:36:00","Programming in Objective C 2 0","005.117","acbk"
"2009-08-15 10:45:00","2009-07-21 18:36:00","Programming in Objective C 2 0","005.117","acbk"
"2009-09-14 12:10:00","2009-08-07 14:27:00","Programming in Objective C 2 0","005.117","acbk"
"2009-09-20 15:43:00","2009-07-22 15:15:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-01 11:47:00","2009-08-22 14:38:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-02 10:44:00","2009-08-22 14:38:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-04 15:16:00","2009-09-11 15:40:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-07 15:14:00","2009-09-11 15:40:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-08 11:38:00","2009-09-11 15:40:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-12 14:08:00","2009-09-19 14:49:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-13 22:04:00","2009-09-19 14:49:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-14 16:49:00","2009-08-22 14:38:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-15 12:35:00","2009-08-22 14:38:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-15 12:49:00","2009-09-19 14:49:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-28 13:16:00","2009-09-19 14:49:00","Programming in Objective C 2 0","005.117","acbk"
"2009-10-31 16:06:00","2009-10-16 15:36:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-03 18:07:00","2009-10-17 14:26:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-04 11:15:00","2009-10-16 15:36:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-06 19:28:00","2009-10-17 14:26:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-08 14:09:00","2009-10-25 14:13:00","Objective C for dummies","005.117","acbk"
"2009-11-09 14:57:00","2009-10-17 14:26:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-09 23:30:00","2009-10-25 14:13:00","Objective C for dummies","005.117","acbk"
"2009-11-10 12:10:00","2009-10-25 14:13:00","Objective C for dummies","005.117","acbk"
"2009-11-12 12:32:00","2009-10-18 12:59:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-17 18:42:00","2009-11-17 18:42:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-20 10:46:00","2009-10-28 15:01:00","Objective C for dummies","005.117","acbk"
"2009-11-20 11:48:00","2009-11-17 18:42:00","Programming in Objective C 2 0","005.117","acbk"
"2009-11-30 17:46:00","2009-11-06 12:19:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-02 14:11:00","2009-11-06 12:19:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-03 18:51:00","2009-11-16 16:17:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-05 13:51:00","2009-11-16 16:17:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-07 14:21:00","2009-11-12 13:03:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-07 18:37:00","2009-11-16 16:17:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-12 11:15:00","2009-11-06 12:19:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-14 13:56:00","2009-11-25 12:37:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-18 11:41:00","2009-10-22 13:54:00","Objective C for dummies","005.117","acbk"
"2009-12-19 13:31:00","2009-11-12 13:03:00","Programming in Objective C 2 0","005.117","acbk"
"2009-12-31 16:52:00","2009-12-09 15:33:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-04 23:43:00","2009-12-09 15:33:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-09 17:01:00","2009-12-19 17:52:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-09 17:11:00","2009-12-19 15:50:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-10 16:50:00","2009-12-23 14:31:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-11 11:24:00","2009-12-19 15:50:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-12 19:41:00","2009-10-21 19:34:00","Objective C for dummies","005.117","acbk"
"2010-01-13 10:18:00","2009-10-21 19:34:00","Objective C for dummies","005.117","acbk"
"2010-01-13 13:11:00","2009-12-23 14:31:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-15 13:24:00","2009-12-15 13:59:00","Objective C for dummies","005.117","acbk"
"2010-01-16 13:52:00","2009-12-09 15:33:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-19 13:15:00","2009-12-09 15:33:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-22 10:51:00","2009-12-15 13:59:00","Objective C for dummies","005.117","acbk"
"2010-01-26 12:09:00","2009-12-23 14:31:00","Programming in Objective C 2 0","005.117","acbk"
"2010-01-27 19:17:00","2009-12-04 15:34:00","Objective C for dummies","005.117","acbk"
"2010-01-28 15:54:00","2010-01-07 13:07:00","Objective C for dummies","005.117","acbk"
"2010-01-30 22:58:00","2010-01-07 13:07:00","Objective C for dummies","005.117","acbk"
"2010-01-30 23:10:00","2009-12-04 15:34:00","Objective C for dummies","005.117","acbk"
"2010-02-01 11:38:00","2009-12-04 15:34:00","Objective C for dummies","005.117","acbk"
"2010-02-01 16:38:00","2010-01-07 13:07:00","Objective C for dummies","005.117","acbk"
"2010-02-05 12:31:00","2010-01-15 12:26:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-06 11:58:00","2010-01-16 13:10:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-06 13:49:00","2010-01-15 12:26:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-08 12:47:00","2010-01-16 13:10:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-17 14:22:00","2010-01-27 10:30:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-19 11:54:00","2010-01-15 12:26:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-20 14:43:00","2010-01-15 12:26:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-20 16:56:00","2010-01-27 10:30:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-23 13:37:00","2010-01-27 10:30:00","Programming in Objective C 2 0","005.117","acbk"
"2010-02-26 13:07:00","2009-12-29 13:02:00","Objective C for dummies","005.117","acbk"
"2010-02-27 11:22:00","2010-02-04 13:32:00","Objective C for dummies","005.117","acbk"
"2010-02-27 17:20:00","2010-02-04 13:32:00","Objective C for dummies","005.117","acbk"
"2010-03-01 17:20:00","2010-02-04 16:23:00","Programming in Objective C 2 0","005.117","acbk"
"2010-03-02 12:33:00","2010-02-04 16:23:00","Programming in Objective C 2 0","005.117","acbk"
"2010-03-03 21:47:00","2010-01-15 12:26:00","Programming in Objective C 2 0","005.117","acbk"
"2010-03-06 13:34:00","2010-01-15 12:26:00","Programming in Objective C 2 0","005.117","acbk"
"2010-03-06 16:02:00","2010-01-22 17:30:00","Objective C for dummies","005.117","acbk"
"2010-03-07 16:26:00","2010-03-05 17:36:00","Programming in Objective C 2 0","005.117","acbk"
"2010-03-08 16:07:00","2010-03-05 17:36:00","Programming in Objective C 2 0","005.117","acbk"
