"cin","cout","title","deweyClass","itemtype"
"2006-02-23 10:41:00","2006-01-14 11:48:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-02-24 16:25:00","2006-01-14 11:48:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-02-27 15:24:00","2006-02-02 15:02:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-03-02 19:33:00","2006-01-18 19:02:00","Advanced Perl programming","005.133","acbk"
"2006-03-07 13:04:00","2006-01-31 14:46:00","Programming the Perl DBI","005.74","acbk"
"2006-03-09 18:32:00","2006-02-01 17:02:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-03-10 11:00:00","2006-02-15 18:16:00","Games diversions and Perl culture best of the Perl journal","005.133","acbk"
"2006-03-11 11:12:00","2006-01-07 10:10:00","Learning Perl objects references and modules","005.133","acbk"
"2006-03-16 16:25:00","2006-01-28 13:48:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-03-23 12:25:00","2006-03-17 11:43:00","Programming the Perl DBI","005.74","acbk"
"2006-03-23 13:23:00","2006-02-02 15:02:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-03-25 11:51:00","2006-03-11 10:43:00","Advanced Perl programming","005.133","acbk"
"2006-03-30 18:01:00","2006-03-20 18:40:00","Learning Perl Tk","005.133","acbk"
"2006-04-03 18:57:00","2006-02-25 11:30:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-04-07 11:47:00","2006-04-02 14:23:00","Learning Perl objects references and modules","005.133","acbk"
"2006-04-08 15:55:00","2006-02-07 14:19:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-04-13 15:00:00","2006-04-03 16:19:00","Advanced Perl programming","005.133","acbk"
"2006-04-21 13:13:00","2006-04-02 14:23:00","Learning Perl objects references and modules","005.133","acbk"
"2006-04-21 15:12:00","2006-03-15 19:09:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-04-24 15:11:00","2006-03-15 19:09:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-04-29 10:44:00","2006-03-11 12:57:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-04-30 15:01:00","2006-02-25 11:30:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-05-02 18:06:00","2006-03-04 17:44:00","Learn Perl in a weekend","005.133","acbk"
"2006-05-03 19:44:00","2006-05-01 19:54:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-05-09 18:20:00","2006-04-09 17:30:00","Learn Perl in a weekend","005.133","acbk"
"2006-05-23 10:08:00","2006-03-30 12:30:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-05-23 11:35:00","2006-04-03 18:08:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-05-23 13:18:00","2006-04-03 18:08:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-05-24 13:29:00","2006-04-03 18:08:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-06-01 19:41:00","2006-05-07 17:34:00","Learning Perl objects references and modules","005.133","acbk"
"2006-06-03 15:57:00","2006-05-07 17:34:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-06-08 16:35:00","2006-04-15 17:08:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-06-10 17:22:00","2006-05-14 16:39:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-06-13 16:18:00","2006-05-07 17:34:00","Learning Perl objects references and modules","005.133","acbk"
"2006-06-14 10:11:00","2006-05-03 13:46:00","Games diversions and Perl culture best of the Perl journal","005.133","acbk"
"2006-06-15 13:23:00","2006-05-03 13:46:00","Games diversions and Perl culture best of the Perl journal","005.133","acbk"
"2006-06-15 19:43:00","2006-05-11 11:08:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-06-16 13:35:00","2006-05-30 15:13:00","Advanced Perl programming","005.133","acbk"
"2006-06-16 19:59:00","2006-05-07 17:34:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-06-17 12:02:00","2006-04-22 13:44:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-06-18 16:54:00","2006-05-07 17:34:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-06-19 18:12:00","2006-06-01 19:05:00","Advanced Perl programming","005.133","acbk"
"2006-06-19 20:06:00","2006-06-09 13:11:00","Advanced Perl programming","005.133","acbk"
"2006-06-20 17:20:00","2006-04-22 13:44:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-06-20 17:26:00","2006-06-09 13:11:00","Advanced Perl programming","005.133","acbk"
"2006-06-22 11:18:00","2006-06-05 19:06:00","Advanced Perl programming","005.133","acbk"
"2006-06-22 14:05:00","2006-06-17 16:37:00","Mastering Perl Tk","005.133","acbk"
"2006-06-22 19:24:00","2006-05-04 17:50:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2006-06-23 15:29:00","2006-04-25 18:04:00","Learning Perl objects references and modules","005.133","acbk"
"2006-06-24 13:17:00","2006-05-20 17:07:00","Learn Perl in a weekend","005.133","acbk"
"2006-06-24 14:33:00","2006-05-20 17:07:00","Learning Perl Tk","005.133","acbk"
"2006-07-03 13:06:00","2006-03-29 19:18:00","Mastering Perl Tk","005.133","acbk"
"2006-07-07 16:01:00","2006-06-23 13:38:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-07-10 18:48:00","2006-06-19 17:38:00","Learning Perl objects references and modules","005.133","acbk"
"2006-07-15 15:41:00","2006-04-15 17:08:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-07-17 16:02:00","2006-04-22 13:44:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-07-17 17:32:00","2006-06-19 16:41:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-07-17 19:37:00","2006-06-26 19:20:00","Advanced Perl programming","005.133","acbk"
"2006-07-19 17:08:00","2006-05-26 17:50:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-07-19 18:27:00","2006-07-19 11:37:00","Advanced Perl programming","005.133","acbk"
"2006-07-20 11:06:00","2006-07-19 12:42:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-07-20 17:46:00","2006-06-05 19:06:00","Advanced Perl programming","005.133","acbk"
"2006-07-21 10:40:00","2006-06-05 19:06:00","Advanced Perl programming","005.133","acbk"
"2006-07-21 13:28:00","2006-06-30 11:04:00","Learning Perl Tk","005.133","acbk"
"2006-07-21 13:30:00","2006-07-05 15:46:00","Mastering Perl Tk","005.133","acbk"
"2006-07-21 15:12:00","2006-07-03 13:05:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-07-24 14:08:00","2006-06-17 16:37:00","Mastering Perl Tk","005.133","acbk"
"2006-07-24 15:25:00","2006-03-04 15:24:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-07-26 16:14:00","2006-07-17 15:01:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-07-27 10:56:00","2006-07-17 15:01:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-07-27 11:00:00","2006-05-26 17:50:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-07-31 15:57:00","2006-07-03 13:05:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-01 11:06:00","2006-06-23 13:38:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-01 18:28:00","2006-07-18 18:26:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-02 10:40:00","2006-07-18 18:26:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-02 17:16:00","2006-07-31 11:36:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-08-02 18:24:00","2006-07-17 18:23:00","Learning Perl objects references and modules","005.133","acbk"
"2006-08-07 12:58:00","2006-03-17 11:43:00","Programming the Perl DBI","005.74","acbk"
"2006-08-07 18:30:00","2006-07-19 18:22:00","Advanced Perl programming","005.133","acbk"
"2006-08-08 16:40:00","2006-07-28 17:59:00","Learn Perl in a weekend","005.133","acbk"
"2006-08-12 13:55:00","2006-07-16 16:37:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-08-14 10:04:00","2006-07-16 16:37:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-08-14 19:47:00","2006-07-26 15:01:00","Advanced Perl programming","005.133","acbk"
"2006-08-15 12:06:00","2006-07-20 12:30:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-08-15 12:07:00","2006-07-25 12:07:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-16 13:57:00","2006-07-31 19:41:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-17 15:11:00","2006-07-05 15:46:00","Mastering Perl Tk","005.133","acbk"
"2006-08-18 10:29:00","2006-07-05 15:46:00","Mastering Perl Tk","005.133","acbk"
"2006-08-21 19:24:00","2006-07-20 12:30:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-21 19:24:00","2006-07-25 12:07:00","Mastering Perl Tk","005.133","acbk"
"2006-08-21 19:24:00","2006-07-20 12:30:00","Learning Perl objects references and modules","005.133","acbk"
"2006-08-21 19:25:00","2006-07-31 17:31:00","Learning Perl Tk","005.133","acbk"
"2006-08-22 14:33:00","2006-08-01 16:14:00","Advanced Perl programming","005.133","acbk"
"2006-08-22 14:34:00","2006-08-01 16:29:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-08-23 12:32:00","2006-07-21 17:38:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-08-23 13:43:00","2006-07-31 17:31:00","Learning Perl Tk","005.133","acbk"
"2006-08-24 10:34:00","2006-07-31 17:31:00","Learning Perl Tk","005.133","acbk"
