"cin","cout","title","deweyClass","itemtype"
"2006-01-02 16:18:00","2005-10-19 19:52:00","Python in a nutshell","005.133","acbk"
"2006-01-11 13:39:00","2005-12-06 17:37:00","Python in a nutshell","005.133","acbk"
"2006-01-11 13:40:00","2005-12-01 17:04:00","Python essential reference","005.133","acbk"
"2006-01-11 19:20:00","2005-12-10 15:04:00","quick Python book","005.133","acbk"
"2006-01-12 11:15:00","2005-12-06 17:37:00","Python in a nutshell","005.133","acbk"
"2006-01-27 11:21:00","2005-12-10 15:04:00","quick Python book","005.133","acbk"
"2006-01-31 12:09:00","2006-01-21 15:46:00","Practical Python","005.133","acbk"
"2006-02-17 10:21:00","2006-02-03 16:47:00","quick Python book","005.133","acbk"
"2006-02-21 16:39:00","2006-02-03 16:47:00","quick Python book","005.133","acbk"
"2006-02-23 20:05:00","2006-01-27 18:00:00","Python in a nutshell","005.133","acbk"
"2006-02-27 18:53:00","2006-01-27 18:00:00","Python in a nutshell","005.133","acbk"
"2006-03-04 15:50:00","2006-01-07 17:22:00","Python in a nutshell","005.133","acbk"
"2006-03-08 19:32:00","2006-01-25 17:21:00","Python in a nutshell","005.133","acbk"
"2006-03-11 14:42:00","2006-01-21 12:25:00","Python essential reference","005.133","acbk"
"2006-03-16 18:05:00","2006-02-24 16:35:00","Practical Python","005.133","acbk"
"2006-03-16 18:06:00","2006-03-04 17:42:00","Python in a nutshell","005.133","acbk"
"2006-03-17 10:13:00","2005-10-09 16:53:00","Python essential reference","005.133","acbk"
"2006-03-20 12:32:00","2006-02-25 15:57:00","quick Python book","005.133","acbk"
"2006-03-20 16:28:00","2005-10-09 16:53:00","Python essential reference","005.133","acbk"
"2006-03-28 15:07:00","2006-03-21 14:38:00","Python essential reference","005.133","acbk"
"2006-04-23 17:25:00","2006-03-04 17:42:00","Python in a nutshell","005.133","acbk"
"2006-05-02 14:15:00","2006-03-23 11:20:00","quick Python book","005.133","acbk"
"2006-05-05 11:37:00","2006-03-30 16:07:00","Python essential reference","005.133","acbk"
