"cin","cout","title","deweyClass","itemtype"
"2006-01-24 14:58:00","2006-01-17 16:12:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-02-01 19:29:00","2006-02-01 17:35:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-02-06 17:19:00","2006-02-01 17:35:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-03-17 12:58:00","2006-02-07 18:26:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-03-22 14:46:00","2006-02-07 18:26:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-04-25 12:49:00","2006-03-22 18:54:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-04-26 11:34:00","2006-03-22 18:54:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-05-05 17:38:00","2006-04-27 16:04:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-06-02 17:30:00","2006-06-02 17:30:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-06-07 13:50:00","2006-06-02 17:30:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-06-20 14:29:00","2006-06-07 14:34:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-06-24 11:35:00","2006-06-07 14:34:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-06-27 13:31:00","2006-06-07 13:20:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-06-30 12:20:00","2006-06-07 13:20:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-07-06 11:01:00","2006-05-31 14:36:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-07-07 16:15:00","2006-05-31 14:36:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-07-19 11:06:00","2006-06-24 14:54:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-07-27 10:04:00","2006-07-03 15:31:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-07-28 10:05:00","2006-07-03 15:31:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-07-30 13:58:00","2006-07-10 18:48:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-08-01 17:27:00","2006-07-10 18:48:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-08-17 13:32:00","2006-08-02 11:09:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-08-22 14:06:00","2006-08-09 14:50:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-08-24 10:34:00","2006-07-22 15:47:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-08-28 10:56:00","2006-08-02 11:09:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-08-29 14:22:00","2006-08-02 11:09:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-09-16 15:40:00","2006-08-31 11:56:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-09-22 13:22:00","2006-08-24 13:11:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-09-27 11:30:00","2006-08-30 13:03:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-10-03 12:32:00","2006-08-24 13:11:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-10-20 16:12:00","2006-09-27 17:06:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-10-24 10:25:00","2006-09-27 17:06:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-10-25 14:27:00","2006-09-27 17:06:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
"2006-10-27 11:52:00","2006-10-05 15:48:00","Programming Ruby the pragmatic programmers guide","005.133","acbk"
