"cin","cout","title","deweyClass","itemtype"
"2006-01-25 13:47:00","2006-01-03 16:35:00","MySQL","005.7585","acbk"
"2006-01-25 22:14:00","2006-01-03 18:22:00","PHP MySQL for dummies","005.2762","acbk"
"2006-01-26 13:58:00","2006-01-03 18:22:00","PHP MySQL for dummies","005.2762","acbk"
"2006-01-27 12:44:00","2006-01-06 13:38:00","MySQL the definitive guide to using programming and administering MySQL4","005.7585","acbk"
"2006-01-27 14:14:00","2006-01-06 13:38:00","MySQL the definitive guide to using programming and administering MySQL4","005.7585","acbk"
"2006-01-31 11:05:00","2006-01-11 12:16:00","XML and SQL Server 2000","005.7585","acbk"
"2006-01-31 15:32:00","2006-01-06 13:38:00","MySQL the definitive guide to using programming and administering MySQL4","005.7585","acbk"
"2006-02-01 10:31:00","2006-01-11 12:16:00","XML and SQL Server 2000","005.7585","acbk"
"2006-02-03 12:34:00","2006-01-05 13:40:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-02-04 11:08:00","2006-01-21 17:14:00","Beginning SQL","005.7565","acbk"
"2006-02-04 13:45:00","2006-01-20 15:52:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-02-04 14:29:00","2006-02-01 13:41:00","High performance MySQL optimization backups replication and load balancing","005.7565","acbk"
"2006-02-09 16:00:00","2006-01-25 14:44:00","Inside Microsoft SQL Server 2000","005.7585","acbk"
"2006-02-09 21:52:00","2006-01-21 17:14:00","Beginning SQL","005.7565","acbk"
"2006-02-10 11:16:00","2006-01-21 17:14:00","Beginning SQL","005.7565","acbk"
"2006-02-10 12:25:00","2006-01-28 10:27:00","Oracle DBA SQL quick reference","005.7585","acbk"
"2006-02-10 16:16:00","2006-01-20 15:52:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-02-10 16:39:00","2006-01-19 17:58:00","Sams teach yourself MySQL in 21 days","005.7585","acbk"
"2006-02-11 12:43:00","2006-01-22 15:59:00","gurus guide to Transact SQL","005.756","acbk"
"2006-02-16 10:42:00","2006-01-09 18:23:00","SQL Server 2000 the complete reference","005.7585","acbk"
"2006-02-16 13:25:00","2006-01-09 18:23:00","Scripting XML and WMI for Microsoft SQL server 2000 professional developers guide","005.72","acbk"
"2006-02-17 12:24:00","2006-01-09 18:23:00","Scripting XML and WMI for Microsoft SQL server 2000 professional developers guide","005.72","acbk"
"2006-02-17 13:13:00","2006-01-09 18:23:00","SQL Server 2000 the complete reference","005.7585","acbk"
"2006-02-17 13:57:00","2006-01-29 14:14:00","PHP MySQL for dummies","005.2762","acbk"
"2006-02-17 14:01:00","2006-01-28 17:04:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-02-18 17:22:00","2006-01-03 14:03:00","MySQL","005.7585","acbk"
"2006-02-22 10:47:00","2006-01-28 17:30:00","visual introduction to SQL","005.446","acbk"
"2006-02-22 10:51:00","2006-01-03 19:44:00","Learn SQL in a weekend","005.7585","acbk"
"2006-02-22 14:15:00","2006-01-11 15:37:00","Sams teach yourself Microsoft SQL server 7 0 in 21 days","005.7585","acbk"
"2006-02-22 15:57:00","2006-02-02 15:53:00","Oracle8 PL SQL programming","005.7565","acbk"
"2006-02-22 21:46:00","2006-01-29 14:14:00","PHP MySQL for dummies","005.2762","acbk"
"2006-02-23 12:19:00","2006-01-28 17:04:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-02-23 15:36:00","2006-01-03 19:44:00","Learn SQL in a weekend","005.7585","acbk"
"2006-02-24 12:07:00","2006-02-03 16:43:00","XML and SQL Server 2000","005.7585","acbk"
"2006-02-25 14:55:00","2006-01-31 18:25:00","Learning SQL","005.7565","acbk"
"2006-02-27 19:09:00","2006-01-23 19:49:00","PHP and MySQL Web development","005.72","acbk"
"2006-02-27 22:18:00","2006-02-04 12:18:00","MySQL the definitive guide to using programming and administering MySQL4","005.7585","acbk"
"2006-02-28 13:02:00","2006-01-23 19:49:00","PHP and MySQL Web development","005.72","acbk"
"2006-02-28 16:24:00","2006-01-31 18:25:00","Learning SQL","005.7565","acbk"
"2006-03-01 12:30:00","2006-02-04 16:12:00","Learning SQL","005.7565","acbk"
"2006-03-01 15:20:00","2006-02-08 13:27:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-01 19:10:00","2006-02-02 15:18:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-01 19:46:00","2006-02-25 16:30:00","SQL clearly explained","005.756","acbk"
"2006-03-02 12:20:00","2006-02-04 12:18:00","MySQL the definitive guide to using programming and administering MySQL4","005.7585","acbk"
"2006-03-03 12:33:00","2006-01-31 12:42:00","Learn SQL in three days","005.756","acbk"
"2006-03-04 12:40:00","2006-02-27 12:44:00","SQL Server 7 0 handbook a guide to Microsoft database computing","005.7585","acbk"
"2006-03-04 13:51:00","2006-02-16 11:46:00","Sams teach yourself SQL in 21 days","005.7565","acbk"
"2006-03-04 13:52:00","2006-02-11 16:25:00","MCSE MCSD SQL Server 7 database design study guide","005.7585","acbk"
"2006-03-05 13:32:00","2006-01-14 13:02:00","Sams teach yourself SQL in 21 days","005.7565","acbk"
"2006-03-06 13:09:00","2006-01-28 10:27:00","Oracle DBA SQL quick reference","005.7585","acbk"
"2006-03-06 17:31:00","2006-02-04 15:13:00","Learning SQL","005.7565","acbk"
"2006-03-06 18:23:00","2006-01-28 17:10:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-06 18:32:00","2006-01-28 17:30:00","visual introduction to SQL","005.446","acbk"
"2006-03-06 18:47:00","2006-02-18 17:45:00","Learn Microsoft SQL Server 2000","005.7585","acbk"
"2006-03-07 11:48:00","2006-01-28 17:10:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-07 11:51:00","2006-01-28 17:30:00","visual introduction to SQL","005.446","acbk"
"2006-03-07 12:30:00","2006-03-02 14:42:00","MySQL the definitive guide to using programming and administering MySQL4","005.7585","acbk"
"2006-03-08 17:44:00","2006-02-08 13:27:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-09 12:39:00","2006-01-03 14:03:00","MySQL","005.7585","acbk"
"2006-03-10 08:58:00","2006-01-23 19:49:00","PHP and MySQL Web development","005.72","acbk"
"2006-03-10 13:23:00","2006-02-24 17:35:00","PHP MySQL for dummies","005.2762","acbk"
"2006-03-11 17:03:00","2006-03-10 17:17:00","visual introduction to SQL","005.446","acbk"
"2006-03-11 17:37:00","2006-03-11 16:28:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-13 12:53:00","2006-02-25 12:51:00","SQL Server 2000 the complete reference","005.7585","acbk"
"2006-03-13 14:00:00","2006-03-04 12:11:00","Microsoft SQL Server 2000 DTS step by step","005.7585","acbk"
"2006-03-13 16:09:00","2006-01-14 17:35:00","SQL the complete reference","005.7565","acbk"
"2006-03-14 12:51:00","2006-01-14 13:02:00","Sams teach yourself SQL in 21 days","005.7565","acbk"
"2006-03-14 19:03:00","2006-01-23 19:49:00","PHP and MySQL Web development","005.72","acbk"
"2006-03-14 19:35:00","2006-02-21 15:52:00","Sams teach yourself SQL in 21 days","005.7565","acbk"
"2006-03-15 11:32:00","2006-01-28 17:04:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-15 20:01:00","2006-03-15 19:55:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-16 11:25:00","2006-03-07 16:03:00","Microsoft Access projects with Microsoft SQL server","005.7585","acbk"
"2006-03-16 12:45:00","2006-02-16 11:46:00","Sams teach yourself SQL in 21 days","005.7565","acbk"
"2006-03-16 13:04:00","2006-01-31 18:25:00","Learning SQL","005.7565","acbk"
"2006-03-17 17:30:00","2006-02-18 11:15:00","Beginning SQL","005.7565","acbk"
"2006-03-18 09:59:00","2006-03-10 17:17:00","visual introduction to SQL","005.446","acbk"
"2006-03-18 12:06:00","2006-03-11 10:26:00","MySQL","005.7585","acbk"
"2006-03-18 13:24:00","2006-02-03 16:43:00","XML and SQL Server 2000","005.7585","acbk"
"2006-03-18 14:15:00","2006-03-04 12:11:00","Microsoft SQL Server 2000 DTS step by step","005.7585","acbk"
"2006-03-18 14:59:00","2006-03-15 19:55:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-19 16:48:00","2006-02-26 12:13:00","Microsoft Access projects with Microsoft SQL server","005.7585","acbk"
"2006-03-19 16:48:00","2006-03-09 13:45:00","Learn Microsoft SQL Server 2000","005.7585","acbk"
"2006-03-20 12:03:00","2006-02-03 16:43:00","XML and SQL Server 2000","005.7585","acbk"
"2006-03-20 16:48:00","2006-01-22 15:59:00","gurus guide to Transact SQL","005.756","acbk"
"2006-03-20 16:56:00","2006-02-01 13:41:00","High performance MySQL optimization backups replication and load balancing","005.7565","acbk"
"2006-03-20 17:11:00","2006-01-26 13:18:00","Transact SQL desk reference","005.7585","acbk"
"2006-03-20 17:18:00","2006-02-24 17:35:00","PHP MySQL for dummies","005.2762","acbk"
"2006-03-20 18:28:00","2006-03-20 18:27:00","PHP and MySQL Web development","005.72","acbk"
"2006-03-21 13:28:00","2006-01-26 13:18:00","Transact SQL desk reference","005.7585","acbk"
"2006-03-21 14:29:00","2006-03-02 18:07:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-23 11:12:00","2006-03-20 18:27:00","PHP and MySQL Web development","005.72","acbk"
"2006-03-23 14:18:00","2006-03-09 19:46:00","Web database applications with PHP and MySQL","005.2762","acbk"
"2006-03-23 14:22:00","2006-03-09 19:46:00","PHP and MySQL Web development","005.72","acbk"
"2006-03-23 19:22:00","2006-02-21 15:16:00","Learn SQL in three days","005.756","acbk"
